Country,EdLevel,YearsCodePro,Salary
United States,Bachelor’s degree,3.0,115000.0
United States,Bachelor’s degree,2.0,215000.0
United States,Bachelor’s degree,8.0,45000.0
United States,Less than a Bachelors,1.0,53000.0
United States,Less than a Bachelors,5.0,97500.0
United States,Bachelor’s degree,10.0,75000.0
United Kingdom,Less than a Bachelors,3.0,32315.0
Canada,Bachelor’s degree,3.0,37816.0
Germany,Bachelor’s degree,6.0,54480.0
United States,Bachelor’s degree,3.0,90000.0
United States,Master’s degree,25.0,150000.0
United States,Less than a Bachelors,12.0,80000.0
United States,Bachelor’s degree,5.0,125000.0
Canada,Less than a Bachelors,4.0,64287.0
United States,Bachelor’s degree,18.0,170000.0
United States,Bachelor’s degree,6.0,112000.0
United States,Master’s degree,11.0,141000.0
Netherlands,Bachelor’s degree,4.0,36324.0
United States,Bachelor’s degree,14.0,80000.0
Germany,Post grad,6.0,48644.0
Canada,Post grad,5.0,41597.0
United States,Bachelor’s degree,2.0,130000.0
United States,Bachelor’s degree,2.0,70000.0
United States,Bachelor’s degree,6.0,80000.0
Germany,Bachelor’s degree,7.0,34591.0
Germany,Bachelor’s degree,7.0,59454.0
United States,Bachelor’s degree,3.0,115000.0
Canada,Post grad,18.0,94539.0
France,Master’s degree,3.0,52968.0
United States,Master’s degree,8.0,83450.0
Netherlands,Less than a Bachelors,14.0,129718.0
United States,Bachelor’s degree,32.0,105000.0
United States,Bachelor’s degree,1.0,90000.0
United States,Bachelor’s degree,28.0,208000.0
United States,Bachelor’s degree,15.0,160000.0
United States,Post grad,9.0,90000.0
United States,Bachelor’s degree,15.0,144000.0
United States,Bachelor’s degree,5.0,80000.0
Germany,Bachelor’s degree,10.0,81074.0
United States,Bachelor’s degree,19.0,160000.0
United States,Bachelor’s degree,12.0,170000.0
France,Master’s degree,4.0,41077.0
United States,Bachelor’s degree,2.0,99600.0
Canada,Bachelor’s degree,4.0,87732.0
Canada,Less than a Bachelors,2.0,113447.0
France,Master’s degree,1.0,28152.0
France,Master’s degree,2.0,48644.0
United States,Bachelor’s degree,2.0,65000.0
United Kingdom,Less than a Bachelors,3.0,44595.0
India,Bachelor’s degree,2.0,11728.0
United States,Bachelor’s degree,0.5,80000.0
United States,Bachelor’s degree,6.0,140000.0
United States,Master’s degree,22.0,120000.0
United States,Bachelor’s degree,11.0,100000.0
United States,Bachelor’s degree,6.0,65000.0
United States,Less than a Bachelors,7.0,65000.0
United States,Bachelor’s degree,20.0,130000.0
United States,Bachelor’s degree,3.0,102000.0
United States,Master’s degree,15.0,120000.0
United States,Bachelor’s degree,4.0,77500.0
Canada,Master’s degree,6.0,60505.0
United States,Bachelor’s degree,6.0,122780.0
United States,Bachelor’s degree,2.0,82000.0
United States,Bachelor’s degree,38.0,112000.0
United States,Master’s degree,10.0,171000.0
United States,Bachelor’s degree,8.0,75000.0
United States,Master’s degree,5.0,125000.0
United States,Less than a Bachelors,2.0,75000.0
Sweden,Bachelor’s degree,15.0,76464.0
United States,Bachelor’s degree,1.0,85000.0
United Kingdom,Bachelor’s degree,2.0,23267.0
United States,Less than a Bachelors,1.0,36000.0
India,Bachelor’s degree,3.0,150792.0
France,Post grad,3.0,24648.0
United States,Bachelor’s degree,10.0,72000.0
Canada,Bachelor’s degree,2.0,41597.0
Sweden,Master’s degree,2.0,51138.0
Canada,Bachelor’s degree,12.0,57480.0
France,Post grad,22.0,59454.0
United States,Bachelor’s degree,2.0,75000.0
United States,Bachelor’s degree,11.0,130000.0
United States,Less than a Bachelors,0.5,100000.0
United States,Master’s degree,23.0,146400.0
Canada,Bachelor’s degree,21.0,136136.0
United States,Bachelor’s degree,2.0,82500.0
United States,Master’s degree,30.0,170000.0
United States,Bachelor’s degree,8.0,98000.0
United States,Less than a Bachelors,15.0,160000.0
United States,Less than a Bachelors,20.0,160000.0
Germany,Master’s degree,16.0,108098.0
Canada,Bachelor’s degree,26.0,71850.0
Canada,Master’s degree,2.0,55967.0
United States,Bachelor’s degree,25.0,131800.0
Brazil,Bachelor’s degree,9.0,17184.0
United States,Less than a Bachelors,15.0,80000.0
United States,Bachelor’s degree,5.0,115000.0
United States,Bachelor’s degree,15.0,120000.0
United Kingdom,Bachelor’s degree,6.0,87896.0
United States,Master’s degree,1.0,99000.0
United States,Bachelor’s degree,11.0,150000.0
Canada,Bachelor’s degree,1.0,55967.0
Netherlands,Bachelor’s degree,6.0,64859.0
United Kingdom,Post grad,2.0,84019.0
United States,Master’s degree,10.0,110000.0
United States,Bachelor’s degree,3.0,69000.0
United States,Bachelor’s degree,7.0,55000.0
Spain,Master’s degree,4.0,36753.0
United Kingdom,Less than a Bachelors,2.0,27144.0
United States,Master’s degree,4.0,130000.0
Canada,Bachelor’s degree,0.5,68068.0
United States,Bachelor’s degree,1.0,125000.0
United States,Bachelor’s degree,3.0,100000.0
United States,Bachelor’s degree,7.0,140000.0
Germany,Bachelor’s degree,23.0,97288.0
United States,Bachelor’s degree,7.0,90000.0
United States,Bachelor’s degree,16.0,144000.0
Canada,Less than a Bachelors,2.0,52942.0
United States,Master’s degree,5.0,140000.0
United Kingdom,Bachelor’s degree,7.0,71093.0
Canada,Master’s degree,20.0,136136.0
Poland,Master’s degree,9.0,39492.0
United States,Less than a Bachelors,28.0,90000.0
Canada,Bachelor’s degree,3.0,64287.0
United States,Less than a Bachelors,1.0,48500.0
United States,Master’s degree,6.0,92300.0
Canada,Bachelor’s degree,3.0,56723.0
Brazil,Less than a Bachelors,11.0,24744.0
United States,Bachelor’s degree,9.0,90000.0
United Kingdom,Master’s degree,20.0,39941.0
United States,Bachelor’s degree,4.0,100000.0
Canada,Less than a Bachelors,3.0,44622.0
United States,Bachelor’s degree,12.0,107000.0
United States,Master’s degree,4.0,95000.0
United States,Bachelor’s degree,18.0,93840.0
United States,Less than a Bachelors,18.0,79095.0
Australia,Bachelor’s degree,20.0,46767.0
United Kingdom,Less than a Bachelors,4.0,51704.0
United States,Master’s degree,4.0,105000.0
Canada,Master’s degree,10.0,43866.0
Canada,Bachelor’s degree,5.0,60505.0
India,Bachelor’s degree,2.0,23735.0
Canada,Master’s degree,22.0,39328.0
United States,Bachelor’s degree,7.0,115000.0
Canada,Master’s degree,16.0,71850.0
United States,Bachelor’s degree,13.0,104000.0
Canada,Bachelor’s degree,26.0,117229.0
Canada,Master’s degree,4.0,35849.0
United States,Bachelor’s degree,4.0,105000.0
Canada,Less than a Bachelors,15.0,151263.0
United States,Less than a Bachelors,22.0,80000.0
Canada,Less than a Bachelors,20.0,52942.0
United States,Bachelor’s degree,1.0,75000.0
United Kingdom,Less than a Bachelors,6.0,77556.0
United States,Bachelor’s degree,10.0,170000.0
United States,Bachelor’s degree,4.0,68000.0
Canada,Bachelor’s degree,5.0,55211.0
United States,Bachelor’s degree,9.0,119820.0
Italy,Master’s degree,6.0,32429.0
United States,Bachelor’s degree,10.0,100000.0
United States,Bachelor’s degree,0.5,65000.0
United Kingdom,Less than a Bachelors,2.0,32315.0
United States,Bachelor’s degree,5.0,73000.0
United States,Post grad,3.0,110000.0
United States,Less than a Bachelors,20.0,150000.0
United States,Less than a Bachelors,20.0,115000.0
United States,Bachelor’s degree,2.0,70338.0
United States,Master’s degree,20.0,154000.0
Germany,Post grad,14.0,107017.0
United States,Master’s degree,5.0,68000.0
Germany,Bachelor’s degree,2.0,47563.0
Canada,Less than a Bachelors,1.0,33900.0
Germany,Master’s degree,4.0,50266.0
India,Bachelor’s degree,3.0,10471.0
United Kingdom,Bachelor’s degree,6.0,46533.0
United States,Bachelor’s degree,3.0,108000.0
United States,Bachelor’s degree,7.0,118500.0
United States,Bachelor’s degree,3.0,60000.0
United States,Bachelor’s degree,2.0,70000.0
United States,Bachelor’s degree,16.0,140000.0
Canada,Bachelor’s degree,27.0,77144.0
United Kingdom,Bachelor’s degree,13.0,84019.0
United States,Bachelor’s degree,3.0,180000.0
Germany,Master’s degree,12.0,45396.0
United States,Bachelor’s degree,2.0,95000.0
United States,Master’s degree,13.0,115000.0
United States,Bachelor’s degree,5.0,140000.0
United States,Bachelor’s degree,15.0,156000.0
Canada,Bachelor’s degree,12.0,55967.0
United States,Bachelor’s degree,17.0,100000.0
United Kingdom,Bachelor’s degree,3.0,40070.0
United States,Post grad,30.0,250000.0
Germany,Bachelor’s degree,8.0,81074.0
United States,Master’s degree,1.0,59999.0
United Kingdom,Master’s degree,10.0,84019.0
Canada,Bachelor’s degree,8.0,71850.0
Poland,Bachelor’s degree,2.0,25272.0
Canada,Bachelor’s degree,6.0,71494.0
Canada,Master’s degree,0.5,48950.0
United States,Bachelor’s degree,18.0,156500.0
United States,Master’s degree,20.0,175000.0
United States,Bachelor’s degree,10.0,98000.0
Brazil,Bachelor’s degree,7.0,12372.0
United States,Bachelor’s degree,24.0,140000.0
Canada,Master’s degree,2.0,52942.0
United States,Bachelor’s degree,5.0,98000.0
United States,Bachelor’s degree,5.0,90000.0
United States,Post grad,1.0,50000.0
Canada,Bachelor’s degree,7.0,98321.0
United States,Master’s degree,20.0,150000.0
United States,Bachelor’s degree,1.0,60000.0
Brazil,Bachelor’s degree,15.0,32070.0
United States,Less than a Bachelors,6.0,119200.0
Brazil,Bachelor’s degree,18.0,32070.0
Canada,Bachelor’s degree,4.0,68824.0
United States,Master’s degree,13.0,175000.0
Canada,Bachelor’s degree,15.0,137271.0
United States,Less than a Bachelors,25.0,95000.0
United States,Master’s degree,6.0,88000.0
Italy,Master’s degree,14.0,37834.0
United States,Less than a Bachelors,13.0,150000.0
United States,Bachelor’s degree,8.0,56083.0
United States,Bachelor’s degree,5.0,105000.0
United States,Bachelor’s degree,6.0,100000.0
France,Master’s degree,4.0,54049.0
United States,Bachelor’s degree,30.0,112500.0
United States,Less than a Bachelors,2.0,88800.0
United States,Master’s degree,25.0,130000.0
United States,Less than a Bachelors,21.0,126000.0
United States,Bachelor’s degree,17.0,150000.0
United States,Less than a Bachelors,11.0,120000.0
United States,Bachelor’s degree,10.0,95000.0
United States,Master’s degree,4.0,67000.0
United States,Bachelor’s degree,30.0,150000.0
United States,Bachelor’s degree,19.0,159000.0
United States,Bachelor’s degree,21.0,120000.0
United States,Post grad,11.0,150000.0
India,Master’s degree,8.0,34206.0
Italy,Less than a Bachelors,3.0,17508.0
France,Bachelor’s degree,3.0,37834.0
United States,Bachelor’s degree,5.0,87000.0
United States,Bachelor’s degree,8.0,94000.0
Germany,Master’s degree,2.0,51888.0
Canada,Bachelor’s degree,3.0,35395.0
United States,Master’s degree,5.0,72000.0
United States,Master’s degree,9.0,94000.0
United States,Bachelor’s degree,7.0,250000.0
Canada,Master’s degree,5.0,85085.0
United Kingdom,Master’s degree,12.0,67215.0
Italy,Less than a Bachelors,10.0,38916.0
Canada,Bachelor’s degree,10.0,30253.0
United States,Less than a Bachelors,1.0,74000.0
United States,Bachelor’s degree,21.0,100300.0
Brazil,Master’s degree,10.0,24744.0
United States,Bachelor’s degree,15.0,72000.0
Germany,Master’s degree,12.0,51888.0
United States,Bachelor’s degree,7.0,98000.0
United States,Master’s degree,23.0,200000.0
United States,Bachelor’s degree,2.0,64400.0
Canada,Bachelor’s degree,22.0,75631.0
United States,Less than a Bachelors,30.0,150000.0
Brazil,Bachelor’s degree,2.0,15120.0
Canada,Post grad,13.0,151263.0
United States,Bachelor’s degree,13.0,150000.0
United States,Master’s degree,10.0,185000.0
United States,Less than a Bachelors,22.0,156000.0
United States,Bachelor’s degree,1.0,75000.0
United Kingdom,Bachelor’s degree,11.0,81433.0
Germany,Master’s degree,9.0,73507.0
United States,Master’s degree,5.0,110000.0
United States,Bachelor’s degree,9.0,107000.0
United States,Bachelor’s degree,7.0,150000.0
United States,Bachelor’s degree,4.0,90000.0
United States,Post grad,30.0,175000.0
Sweden,Master’s degree,2.0,38456.0
United States,Bachelor’s degree,10.0,140000.0
United States,Bachelor’s degree,3.0,60000.0
United States,Less than a Bachelors,1.0,50000.0
United States,Master’s degree,20.0,150000.0
United States,Post grad,12.0,166500.0
United States,Post grad,20.0,112000.0
France,Master’s degree,5.0,70264.0
India,Bachelor’s degree,2.0,39093.0
United States,Bachelor’s degree,4.0,90000.0
Germany,Master’s degree,7.0,46915.0
Canada,Less than a Bachelors,16.0,75631.0
United Kingdom,Less than a Bachelors,1.0,25852.0
United States,Post grad,14.0,55000.0
United States,Post grad,10.0,118000.0
United States,Master’s degree,2.0,120000.0
United States,Bachelor’s degree,0.5,52000.0
United Kingdom,Master’s degree,2.0,38778.0
United Kingdom,Bachelor’s degree,7.0,68184.0
Canada,Less than a Bachelors,27.0,75631.0
United States,Bachelor’s degree,32.0,170000.0
United States,Master’s degree,6.0,130000.0
India,Bachelor’s degree,8.0,30716.0
Canada,Bachelor’s degree,5.0,109665.0
United States,Bachelor’s degree,3.0,115000.0
United States,Bachelor’s degree,4.0,170000.0
United Kingdom,Less than a Bachelors,10.0,116333.0
United States,Bachelor’s degree,5.0,85000.0
United States,Bachelor’s degree,20.0,120000.0
United States,Bachelor’s degree,5.0,130000.0
United States,Bachelor’s degree,13.0,64000.0
United States,Master’s degree,11.0,195000.0
United States,Post grad,5.0,55000.0
United States,Bachelor’s degree,15.0,142000.0
Canada,Bachelor’s degree,2.0,52942.0
United States,Master’s degree,25.0,175000.0
United States,Bachelor’s degree,20.0,120000.0
United States,Bachelor’s degree,23.0,83500.0
Brazil,Less than a Bachelors,3.0,11820.0
United States,Less than a Bachelors,3.0,52000.0
Italy,Less than a Bachelors,11.0,48644.0
Spain,Post grad,6.0,43239.0
United States,Bachelor’s degree,10.0,200000.0
Germany,Master’s degree,1.0,38915.0
Spain,Master’s degree,4.0,35672.0
United States,Less than a Bachelors,5.0,95000.0
United States,Bachelor’s degree,4.0,90000.0
United States,Master’s degree,13.0,130000.0
United States,Master’s degree,2.0,70000.0
United Kingdom,Bachelor’s degree,6.0,54289.0
Netherlands,Master’s degree,3.0,59454.0
United States,Post grad,6.0,160000.0
Spain,Master’s degree,4.0,14268.0
United Kingdom,Master’s degree,2.0,73678.0
United Kingdom,Bachelor’s degree,5.0,41363.0
Germany,Bachelor’s degree,15.0,118908.0
United States,Bachelor’s degree,7.0,74000.0
United States,Bachelor’s degree,8.0,170000.0
Canada,Bachelor’s degree,3.0,41597.0
United States,Less than a Bachelors,10.0,115000.0
Canada,Bachelor’s degree,19.0,79413.0
United States,Bachelor’s degree,38.0,170000.0
United Kingdom,Master’s degree,6.0,96945.0
Germany,Bachelor’s degree,22.0,64859.0
United States,Less than a Bachelors,7.0,100000.0
United States,Less than a Bachelors,34.0,115000.0
Canada,Less than a Bachelors,7.0,45379.0
Canada,Bachelor’s degree,8.0,71850.0
United States,Bachelor’s degree,10.0,250000.0
United States,Bachelor’s degree,20.0,180000.0
United States,Bachelor’s degree,14.0,125000.0
United States,Less than a Bachelors,4.0,105000.0
United States,Master’s degree,7.0,165000.0
United States,Bachelor’s degree,24.0,130000.0
United States,Bachelor’s degree,4.0,61949.0
United States,Bachelor’s degree,0.5,72000.0
United Kingdom,Less than a Bachelors,1.0,23913.0
United Kingdom,Master’s degree,19.0,64630.0
United States,Bachelor’s degree,1.0,138061.0
Brazil,Master’s degree,14.0,24744.0
United States,Bachelor’s degree,5.0,110000.0
United States,Bachelor’s degree,5.0,135000.0
United States,Less than a Bachelors,15.0,65000.0
Germany,Master’s degree,6.0,86478.0
India,Master’s degree,5.0,34904.0
United States,Bachelor’s degree,1.0,60000.0
United States,Bachelor’s degree,4.0,93000.0
United States,Bachelor’s degree,26.0,170000.0
United States,Bachelor’s degree,1.0,82000.0
United States,Bachelor’s degree,3.0,89000.0
Canada,Master’s degree,3.0,58992.0
United States,Bachelor’s degree,15.0,160000.0
United States,Master’s degree,2.0,71000.0
Italy,Less than a Bachelors,4.0,27025.0
United States,Bachelor’s degree,5.0,105000.0
United States,Less than a Bachelors,6.0,85000.0
United States,Bachelor’s degree,6.0,66000.0
Germany,Master’s degree,10.0,75669.0
Germany,Master’s degree,10.0,59454.0
Canada,Bachelor’s degree,9.0,68068.0
United States,Master’s degree,8.0,185000.0
United States,Less than a Bachelors,10.0,108655.0
United States,Bachelor’s degree,20.0,170000.0
United States,Master’s degree,15.0,125000.0
United Kingdom,Bachelor’s degree,7.0,37744.0
United States,Bachelor’s degree,2.0,90000.0
United States,Bachelor’s degree,4.0,125000.0
Canada,Less than a Bachelors,10.0,45379.0
Canada,Bachelor’s degree,6.0,60505.0
Canada,Bachelor’s degree,8.0,113447.0
Canada,Bachelor’s degree,10.0,86976.0
Germany,Master’s degree,1.0,38916.0
United States,Bachelor’s degree,12.0,100000.0
United States,Bachelor’s degree,10.0,145000.0
United States,Bachelor’s degree,10.0,115000.0
United States,Less than a Bachelors,3.0,100000.0
United States,Bachelor’s degree,16.0,170000.0
United States,Master’s degree,9.0,83500.0
Canada,Less than a Bachelors,16.0,75631.0
United Kingdom,Post grad,3.0,41363.0
Brazil,Post grad,10.0,35506.0
Canada,Bachelor’s degree,4.0,86220.0
Germany,Less than a Bachelors,3.0,38915.0
United States,Bachelor’s degree,5.0,150000.0
United States,Bachelor’s degree,6.0,143663.0
United States,Bachelor’s degree,6.0,100000.0
Sweden,Bachelor’s degree,25.0,54120.0
United States,Bachelor’s degree,7.0,80000.0
United States,Master’s degree,5.0,85000.0
United States,Bachelor’s degree,5.0,105000.0
United States,Bachelor’s degree,25.0,180000.0
United States,Master’s degree,7.0,145000.0
United States,Bachelor’s degree,15.0,120000.0
Spain,Master’s degree,2.0,22701.0
United States,Bachelor’s degree,9.0,78000.0
United Kingdom,Bachelor’s degree,17.0,187426.0
United States,Bachelor’s degree,7.0,168000.0
United States,Bachelor’s degree,4.0,80000.0
United States,Bachelor’s degree,19.0,155000.0
Canada,Master’s degree,5.0,49160.0
Sweden,Less than a Bachelors,9.0,56460.0
United States,Master’s degree,6.0,200000.0
France,Master’s degree,4.0,48648.0
Germany,Less than a Bachelors,4.0,42804.0
Poland,Less than a Bachelors,2.0,20352.0
United States,Master’s degree,35.0,172000.0
United States,Bachelor’s degree,4.0,61000.0
United States,Bachelor’s degree,33.0,135000.0
Brazil,Bachelor’s degree,6.0,27488.0
United States,Less than a Bachelors,6.0,120000.0
United States,Bachelor’s degree,7.0,90000.0
Russian Federation,Less than a Bachelors,30.0,33024.0
Italy,Less than a Bachelors,17.0,75669.0
United States,Bachelor’s degree,14.0,120000.0
United States,Less than a Bachelors,3.0,52500.0
United Kingdom,Bachelor’s degree,3.0,72385.0
Canada,Master’s degree,5.0,60505.0
United States,Master’s degree,10.0,46513.0
United States,Bachelor’s degree,0.5,110000.0
Canada,Bachelor’s degree,10.0,69581.0
United States,Bachelor’s degree,10.0,130000.0
United Kingdom,Less than a Bachelors,8.0,84019.0
United Kingdom,Bachelor’s degree,2.0,67215.0
United States,Less than a Bachelors,24.0,180000.0
United States,Bachelor’s degree,8.0,70000.0
United States,Bachelor’s degree,2.0,89600.0
United Kingdom,Master’s degree,20.0,84019.0
United States,Bachelor’s degree,21.0,140000.0
Canada,Less than a Bachelors,20.0,75631.0
India,Master’s degree,3.0,23037.0
United States,Bachelor’s degree,15.0,150000.0
United States,Bachelor’s degree,7.0,80000.0
Sweden,Master’s degree,6.0,50316.0
United States,Bachelor’s degree,13.0,137000.0
Canada,Master’s degree,21.0,70337.0
Canada,Master’s degree,4.0,66556.0
Italy,Less than a Bachelors,6.0,18156.0
Brazil,Bachelor’s degree,3.0,27492.0
United States,Master’s degree,10.0,112500.0
Canada,Bachelor’s degree,7.0,65799.0
Canada,Master’s degree,19.0,60505.0
United States,Less than a Bachelors,5.0,95000.0
United States,Bachelor’s degree,3.0,57500.0
United States,Less than a Bachelors,1.0,42500.0
United States,Bachelor’s degree,8.0,108000.0
United States,Bachelor’s degree,1.0,74000.0
United Kingdom,Post grad,16.0,64630.0
United States,Less than a Bachelors,8.0,78377.0
Canada,Bachelor’s degree,5.0,56723.0
United Kingdom,Master’s degree,7.0,96945.0
United Kingdom,Master’s degree,2.0,71093.0
Brazil,Less than a Bachelors,4.0,13740.0
Canada,Master’s degree,5.0,93594.0
United States,Bachelor’s degree,1.0,60000.0
United States,Master’s degree,16.0,128000.0
United States,Less than a Bachelors,27.0,80000.0
Canada,Less than a Bachelors,3.0,68068.0
United States,Post grad,6.0,140000.0
United States,Less than a Bachelors,36.0,140000.0
Canada,Bachelor’s degree,7.0,37816.0
United States,Bachelor’s degree,7.0,107000.0
United States,Bachelor’s degree,5.0,80000.0
United States,Bachelor’s degree,3.0,85000.0
United States,Bachelor’s degree,15.0,135000.0
United States,Bachelor’s degree,12.0,65395.0
United States,Bachelor’s degree,6.0,118000.0
United States,Bachelor’s degree,2.0,60000.0
United States,Bachelor’s degree,40.0,150000.0
United States,Bachelor’s degree,4.0,84500.0
India,Bachelor’s degree,23.0,55847.0
Canada,Bachelor’s degree,8.0,109665.0
United States,Master’s degree,15.0,150000.0
United States,Bachelor’s degree,12.0,110000.0
United States,Less than a Bachelors,20.0,120000.0
Sweden,Less than a Bachelors,6.0,60138.0
United States,Bachelor’s degree,8.0,130000.0
United States,Bachelor’s degree,4.0,90000.0
United States,Bachelor’s degree,22.0,200000.0
United States,Master’s degree,3.0,65000.0
United States,Less than a Bachelors,32.0,120000.0
United States,Less than a Bachelors,0.5,55000.0
Germany,Master’s degree,20.0,87559.0
United States,Bachelor’s degree,3.0,91000.0
United States,Post grad,20.0,150000.0
United States,Bachelor’s degree,20.0,90000.0
United States,Bachelor’s degree,24.0,210000.0
Canada,Bachelor’s degree,6.0,68824.0
United Kingdom,Master’s degree,22.0,67215.0
United States,Bachelor’s degree,6.0,150000.0
United States,Bachelor’s degree,7.0,123000.0
United Kingdom,Bachelor’s degree,20.0,59459.0
United States,Less than a Bachelors,15.0,90000.0
United States,Master’s degree,16.0,185000.0
United States,Bachelor’s degree,8.0,77000.0
India,Master’s degree,2.0,20943.0
United States,Bachelor’s degree,5.0,130000.0
Poland,Master’s degree,4.0,33408.0
United States,Bachelor’s degree,8.0,165000.0
United States,Less than a Bachelors,10.0,137000.0
United States,Bachelor’s degree,19.0,220000.0
United States,Bachelor’s degree,15.0,200000.0
United States,Bachelor’s degree,33.0,180000.0
United States,Bachelor’s degree,20.0,25000.0
United States,Bachelor’s degree,14.0,120000.0
United States,Less than a Bachelors,9.0,145000.0
Brazil,Bachelor’s degree,4.0,14292.0
United States,Master’s degree,8.0,60000.0
Germany,Master’s degree,24.0,48384.0
Canada,Bachelor’s degree,5.0,52942.0
United States,Less than a Bachelors,3.0,58000.0
United States,Master’s degree,6.0,90000.0
United States,Bachelor’s degree,10.0,130000.0
United States,Less than a Bachelors,20.0,145000.0
United States,Bachelor’s degree,1.0,48000.0
United Kingdom,Bachelor’s degree,2.0,38778.0
United States,Less than a Bachelors,6.0,68000.0
United States,Bachelor’s degree,5.0,105000.0
United States,Bachelor’s degree,4.0,42000.0
United States,Bachelor’s degree,8.0,95000.0
United States,Bachelor’s degree,5.0,151000.0
Germany,Bachelor’s degree,8.0,55776.0
United States,Less than a Bachelors,20.0,215000.0
United States,Bachelor’s degree,2.0,80000.0
United States,Bachelor’s degree,6.0,110000.0
Brazil,Post grad,4.0,10992.0
United States,Master’s degree,20.0,100000.0
United States,Bachelor’s degree,10.0,138000.0
United States,Bachelor’s degree,2.0,64800.0
United States,Bachelor’s degree,1.0,85000.0
United States,Bachelor’s degree,9.0,88000.0
United States,Bachelor’s degree,6.0,70000.0
United Kingdom,Master’s degree,11.0,69800.0
United Kingdom,Less than a Bachelors,10.0,46533.0
Italy,Master’s degree,1.0,20539.0
United States,Bachelor’s degree,3.0,101000.0
United States,Bachelor’s degree,12.0,120000.0
United States,Less than a Bachelors,14.0,250000.0
United States,Master’s degree,10.0,250000.0
United States,Bachelor’s degree,2.0,60040.0
United States,Bachelor’s degree,16.0,135000.0
Poland,Master’s degree,9.0,41916.0
United States,Less than a Bachelors,13.0,125000.0
United States,Bachelor’s degree,9.0,150000.0
United States,Bachelor’s degree,6.0,85000.0
United States,Bachelor’s degree,30.0,140000.0
United States,Less than a Bachelors,8.0,80000.0
United States,Master’s degree,11.0,104000.0
United States,Bachelor’s degree,7.0,126480.0
Canada,Bachelor’s degree,22.0,83194.0
United States,Bachelor’s degree,8.0,92000.0
United States,Less than a Bachelors,3.0,80000.0
United States,Bachelor’s degree,34.0,113000.0
Canada,Bachelor’s degree,20.0,90758.0
Canada,Bachelor’s degree,3.0,62774.0
United States,Bachelor’s degree,4.0,100000.0
United States,Less than a Bachelors,21.0,95000.0
Canada,Bachelor’s degree,5.0,60505.0
Canada,Master’s degree,8.0,71093.0
Brazil,Master’s degree,15.0,82464.0
Canada,Less than a Bachelors,8.0,60505.0
United States,Master’s degree,8.0,129000.0
United States,Bachelor’s degree,30.0,130000.0
Sweden,Post grad,1.0,45312.0
United States,Bachelor’s degree,3.0,85000.0
United States,Master’s degree,6.0,90000.0
Sweden,Bachelor’s degree,11.0,55224.0
United States,Bachelor’s degree,8.0,112000.0
Canada,Less than a Bachelors,0.5,31750.0
United States,Less than a Bachelors,2.0,82500.0
United States,Bachelor’s degree,3.0,110000.0
United States,Bachelor’s degree,2.0,60000.0
Canada,Master’s degree,18.0,83194.0
United States,Master’s degree,5.0,106000.0
United States,Less than a Bachelors,27.0,138162.0
United States,Bachelor’s degree,14.0,200000.0
United States,Bachelor’s degree,3.0,65500.0
United States,Bachelor’s degree,20.0,138000.0
United States,Post grad,19.0,75000.0
